Name,Price,Location,Mileage,URL
2008 Honda civic Hybrid Sedan 4D,"$5,000","Newark, NJ",170K miles,https://www.facebook.com/marketplace/item/2118784465154636/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic LX Coupe 2D,"$6,200","Nanuet, NY",106K miles,https://www.facebook.com/marketplace/item/1868435403616448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic LX Coupe 2D,"$5,800","Amityville, NY",156K miles,https://www.facebook.com/marketplace/item/1957948604623804/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic 5 speed,"$3,500","Medford, NY",160K miles,https://www.facebook.com/marketplace/item/742771634400883/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic EX Coupe 2D,"$5,995","Brentwood, NY",153K miles,https://www.facebook.com/marketplace/item/1110679553477541/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Honda civic EX Coupe 2D,"$4,995","Bronxville, NY",126K miles,https://www.facebook.com/marketplace/item/1483767862212636/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic EX Coupe 2D,"$5,000","Middletown, NJ",109K miles,https://www.facebook.com/marketplace/item/1613483312751416/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic HF Sedan 4D,"$6,990","Elizabeth, NJ",N/A,https://www.facebook.com/marketplace/item/1219496709012985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Coupe 2D,"$3,700","Jamaica, NY",160K miles,https://www.facebook.com/marketplace/item/1126095595202293/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Honda civic EX-L Sedan 4D,"$4,500","Bronx, NY",116K miles,https://www.facebook.com/marketplace/item/469428105416754/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Honda cr-v Touring Sport Utility 4D,"$4,500","Mt Vernon, NY",73K miles,https://www.facebook.com/marketplace/item/795033178704866/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Honda civic EX Sedan 4D,"$6,500","Trenton, NJ",143K miles,https://www.facebook.com/marketplace/item/967366538322652/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic EX Sedan 4D,"$3,500","New York, NY",118K miles,https://www.facebook.com/marketplace/item/1518539832337637/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda civic Sport,"$1,500","Newark, NJ",58K miles,https://www.facebook.com/marketplace/item/1596564171103648/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic Si Coupe 2D,"$4,250","Melville, NY",149K miles,https://www.facebook.com/marketplace/item/967748404873559/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda cr-v SE Sport Utility 4D,"$7,000","Bronx, NY",174K miles,https://www.facebook.com/marketplace/item/734821755196384/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda accord,"$3,900","Hopewell Junction, NY",139K miles,https://www.facebook.com/marketplace/item/424409653467035/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic EX Sedan 4D,"$5,699","New York, NY",135K miles,https://www.facebook.com/marketplace/item/1471205706812008/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Honda civic LX Coupe 2D,"$3,400","Brooklyn, NY",162K miles,https://www.facebook.com/marketplace/item/452199797315192/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic,"$5,300","Bronx, NY",104K miles,https://www.facebook.com/marketplace/item/1133648397967527/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
